VTX, IDX, position.x, position.y, position.z, normal.x, normal.y, normal.z, tangent.x, tangent.y, tangent.z, texcoord0.x, texcoord0.y
3996, 1184, -0.18382,  0.984,  0.22691, -0.81801, -0.4592,  0.33302, -0.38466,  0.02056, -0.91717,  0.59272,  0.76163
3997, 1185, -0.17752,  0.97737,  0.2273, -0.58685, -0.7552,  0.27653, -0.43596,  0.01101, -0.89373,  0.57857,  0.77361
3998, 1993, -0.1759,  0.97885,  0.23236, -0.50713, -0.65809,  0.54833, -0.81386,  0.17175, -0.5469,  0.5538,  0.76585
3999, 1257, -0.18609,  0.9864,  0.21464, -0.89224, -0.40854, -0.16735,  0.25192, -0.16231, -0.95024,  0.62376,  0.75513
4000, 1183, -0.18274,  0.98102,  0.21863, -0.74246, -0.66173, -0.04712,  0.17034, -0.12357, -0.97427,  0.61334,  0.76571
4001, 1184, -0.18382,  0.984,  0.22691, -0.81801, -0.4592,  0.33302, -0.38466,  0.02056, -0.91717,  0.59272,  0.76163
4002, 1185, -0.17752,  0.97737,  0.2273, -0.58685, -0.7552,  0.27653, -0.43596,  0.01101, -0.89373,  0.57857,  0.77361
4003, 1184, -0.18382,  0.984,  0.22691, -0.81801, -0.4592,  0.33302, -0.38466,  0.02056, -0.91717,  0.59272,  0.76163
4004, 1183, -0.18274,  0.98102,  0.21863, -0.74246, -0.66173, -0.04712,  0.17034, -0.12357, -0.97427,  0.61334,  0.76571
4005, 1184, -0.18382,  0.984,  0.22691, -0.81801, -0.4592,  0.33302, -0.38466,  0.02056, -0.91717,  0.59272,  0.76163
4006, 1993, -0.1759,  0.97885,  0.23236, -0.50713, -0.65809,  0.54833, -0.81386,  0.17175, -0.5469,  0.5538,  0.76585
4007, 1216, -0.17793,  0.98524,  0.23593, -0.60816, -0.39562,  0.68189, -0.7756,  0.4499, -0.43003,  0.56495,  0.75421
4008, 1255, -0.16443,  0.97669,  0.23631, -0.13813, -0.79168,  0.58545, -0.55971,  0.55311,  0.61166,  0.52683,  0.74671
4009, 1216, -0.17793,  0.98524,  0.23593, -0.60816, -0.39562,  0.68189, -0.7756,  0.4499, -0.43003,  0.56495,  0.75421
4010, 1197, -0.1759,  0.97885,  0.23236, -0.50713, -0.65809,  0.54833, -0.55791,  0.73874,  0.37016,  0.5538,  0.76585
4011, 1250, -0.17329,  0.9928,  0.24234, -0.41384, -0.13317,  0.89537, -0.74257,  0.61419, -0.24939,  0.56142,  0.7383
4012, 1216, -0.17793,  0.98524,  0.23593, -0.60816, -0.39562,  0.68189, -0.7756,  0.4499, -0.43003,  0.56495,  0.75421
4013, 1255, -0.16443,  0.97669,  0.23631, -0.13813, -0.79168,  0.58545, -0.55971,  0.55311,  0.61166,  0.52683,  0.74671
4014, 1255, -0.16443,  0.97669,  0.23631, -0.13813, -0.79168,  0.58545, -0.55971,  0.55311,  0.61166,  0.52683,  0.74671
4015, 1256, -0.16123,  0.9848,  0.24421, -0.15247, -0.42528,  0.88454, -0.63715,  0.72694,  0.2412,  0.53624,  0.73264
4016, 1250, -0.17329,  0.9928,  0.24234, -0.41384, -0.13317,  0.89537, -0.74257,  0.61419, -0.24939,  0.56142,  0.7383
4017, 1254, -0.16893,  0.97444,  0.23035, -0.19457, -0.91674,  0.33647, -0.18702,  0.37485,  0.90512,  0.52269,  0.75745
4018, 1255, -0.16443,  0.97669,  0.23631, -0.13813, -0.79168,  0.58545, -0.55971,  0.55311,  0.61166,  0.52683,  0.74671
4019, 1197, -0.1759,  0.97885,  0.23236, -0.50713, -0.65809,  0.54833, -0.55791,  0.73874,  0.37016,  0.5538,  0.76585
4020, 1255, -0.16443,  0.97669,  0.23631, -0.13813, -0.79168,  0.58545, -0.55971,  0.55311,  0.61166,  0.52683,  0.74671
4021, 1254, -0.16893,  0.97444,  0.23035, -0.19457, -0.91674,  0.33647, -0.18702,  0.37485,  0.90512,  0.52269,  0.75745
4022, 1161, -0.1581,  0.97368,  0.22448, -0.15557, -0.95984,  0.21054, -0.0916,  0.23115,  0.96222,  0.49858,  0.74026
4023, 1161, -0.1581,  0.97368,  0.22448, -0.15557, -0.95984,  0.21054, -0.0916,  0.23115,  0.96222,  0.49858,  0.74026
4024, 1217, -0.15472,  0.97702,  0.23437, -0.04631, -0.82148,  0.55651, -0.31274,  0.54669,  0.77359,  0.51279,  0.7322
4025, 1255, -0.16443,  0.97669,  0.23631, -0.13813, -0.79168,  0.58545, -0.55971,  0.55311,  0.61166,  0.52683,  0.74671
4026, 1256, -0.16123,  0.9848,  0.24421, -0.15247, -0.42528,  0.88454, -0.63715,  0.72694,  0.2412,  0.53624,  0.73264
4027, 1255, -0.16443,  0.97669,  0.23631, -0.13813, -0.79168,  0.58545, -0.55971,  0.55311,  0.61166,  0.52683,  0.74671
4028, 1217, -0.15472,  0.97702,  0.23437, -0.04631, -0.82148,  0.55651, -0.31274,  0.54669,  0.77359,  0.51279,  0.7322
4029, 1217, -0.15472,  0.97702,  0.23437, -0.04631, -0.82148,  0.55651, -0.31274,  0.54669,  0.77359,  0.51279,  0.7322
4030, 1165, -0.15271,  0.98149,  0.23937,  0.14301, -0.62639,  0.75553, -0.45223,  0.64144,  0.61427,  0.52008,  0.7241
4031, 1256, -0.16123,  0.9848,  0.24421, -0.15247, -0.42528,  0.88454, -0.63715,  0.72694,  0.2412,  0.53624,  0.73264
4032, 1256, -0.16123,  0.9848,  0.24421, -0.15247, -0.42528,  0.88454, -0.63715,  0.72694,  0.2412,  0.53624,  0.73264
4033, 1165, -0.15271,  0.98149,  0.23937,  0.14301, -0.62639,  0.75553, -0.45223,  0.64144,  0.61427,  0.52008,  0.7241
